Work Year,Taxed Social Security Earnings,Taxed Medicare Earnings
2025,176100,290434
2024,168600,246690
2023,160200,202108
2022,147000,178954
2021,142800,152769
2020,121186,121186
2019,132900,138540
2018,123873,123873
2017,124005,124005
2016,118500,127062
2015,118500,126105
2014,117000,186990
2013,113700,168219
2012,110100,126004
2011,106800,125481
2010,97867,97867
2009,76033,76033
2008,74152,74152
2007,67844,67844
2006,65377,65377
2005,61027,61027
2004,28449,28449
2003,22225,22225
2002,27899,27899
2001,26230,26230
2000,44546,44546
1999,36937,36937
1998,30216,30216
1997,16992,16992
1996,955,955
1995,2014,2014
1994,2010,2010
1993,4832,4832
1992,4138,4138
1991,4186,4186
1990,4529,4529
1989,4614,4614
1988,4302,4302
1987,2000,2000
1986,593,593
