Work Year	Taxed Social Security Earnings	Taxed Medicare Earnings
2025	$176,100	$290,434
2024	$168,600	$246,690
2023	$160,200	$202,108
2022	$147,000	$178,954
2021	$142,800	$152,769
2020	$121,186	$121,186
2019	$132,900	$138,540
2018	$123,873	$123,873
2017	$124,005	$124,005
2016	$118,500	$127,062
2015	$118,500	$126,105
2014	$117,000	$186,990
2013	$113,700	$168,219
2012	$110,100	$126,004
2011	$106,800	$125,481
2010	$97,867	$97,867
2009	$76,033	$76,033
2008	$74,152	$74,152
2007	$67,844	$67,844
2006	$65,377	$65,377
2005	$61,027	$61,027
2004	$28,449	$28,449
2003	$22,225	$22,225
2002	$27,899	$27,899
2001	$26,230	$26,230
2000	$44,546	$44,546
1999	$36,937	$36,937
1998	$30,216	$30,216
1997	$16,992	$16,992
1996	$955	$955
1995	$2,014	$2,014
1994	$2,010	$2,010
1993	$4,832	$4,832
1992	$4,138	$4,138
1991	$4,186	$4,186
1990	$4,529	$4,529
1989	$4,614	$4,614
1988	$4,302	$4,302
1987	$2,000	$2,000
1986	$593	$593
